Running 1m test @ http://20.169.84.122:8080/wrk2-api/home-timeline/read
  2 threads and 2 connections
  Thread calibration: mean lat.: 267.617ms, rate sampling interval: 593ms
  Thread calibration: mean lat.: 267.277ms, rate sampling interval: 597ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency   262.90ms   35.63ms 318.21ms   90.82%
    Req/Sec    99.63      6.15   113.00     75.45%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%  258.82ms
 75.000%  278.02ms
 90.000%  294.40ms
 99.000%  318.21ms
 99.900%  750.59ms
 99.990%  841.22ms
 99.999%  849.92ms
100.000%  849.92ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

     222.463     0.000000            1         1.00
     232.319     0.100000         1011         1.11
     238.975     0.200000         2011         1.25
     245.247     0.300000         3008         1.43
     251.903     0.400000         4004         1.67
     258.815     0.500000         5002         2.00
     262.399     0.550000         5512         2.22
     266.239     0.600000         6030         2.50
     270.079     0.650000         6525         2.86
     273.919     0.700000         7008         3.33
     278.015     0.750000         7514         4.00
     280.319     0.775000         7768         4.44
     282.623     0.800000         8003         5.00
     285.183     0.825000         8257         5.71
     287.743     0.850000         8510         6.67
     290.815     0.875000         8761         8.00
     292.607     0.887500         8883         8.89
     294.399     0.900000         9009        10.00
     295.935     0.912500         9130        11.43
     297.727     0.925000         9275        13.33
     299.519     0.937500         9388        16.00
     300.543     0.943750         9446        17.78
     301.567     0.950000         9501        20.00
     303.615     0.956250         9576        22.86
     304.639     0.962500         9626        26.67
     305.919     0.968750         9692        32.00
     306.431     0.971875         9721        35.56
     307.199     0.975000         9755        40.00
     307.967     0.978125         9793        45.71
     308.479     0.981250         9816        53.33
     310.015     0.984375         9850        64.00
     310.783     0.985938         9861        71.11
     312.319     0.987500         9877        80.00
     315.903     0.989062         9892        91.43
     320.511     0.990625         9909       106.67
     328.191     0.992188         9923       128.00
     350.207     0.992969         9931       142.22
     390.399     0.993750         9939       160.00
     430.591     0.994531         9947       182.86
     470.271     0.995313         9955       213.33
     500.735     0.996094         9962       256.00
     520.959     0.996484         9966       284.44
     540.671     0.996875         9970       320.00
     581.119     0.997266         9974       365.71
     621.055     0.997656         9978       426.67
     659.967     0.998047         9982       512.00
     680.959     0.998242         9984       568.89
     700.415     0.998437         9986       640.00
     720.383     0.998633         9988       731.43
     740.863     0.998828         9990       853.33
     760.319     0.999023         9992      1024.00
     770.047     0.999121         9993      1137.78
     780.287     0.999219         9994      1280.00
     790.527     0.999316         9995      1462.86
     800.767     0.999414         9996      1706.67
     810.495     0.999512         9997      2048.00
     810.495     0.999561         9997      2275.56
     820.735     0.999609         9998      2560.00
     820.735     0.999658         9998      2925.71
     830.975     0.999707         9999      3413.33
     830.975     0.999756         9999      4096.00
     830.975     0.999780         9999      4551.11
     841.215     0.999805        10000      5120.00
     841.215     0.999829        10000      5851.43
     841.215     0.999854        10000      6826.67
     841.215     0.999878        10000      8192.00
     841.215     0.999890        10000      9102.22
     849.919     0.999902        10001     10240.00
     849.919     1.000000        10001          inf
#[Mean    =      262.903, StdDeviation   =       35.627]
#[Max     =      849.408, Total count    =        10001]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  11950 requests in 1.00m, 2.27MB read
Requests/sec:    199.13
Transfer/sec:     38.70KB
