Running 1m test @ http://128.199.25.250:31111/wrk2-api/home-timeline/read
  2 threads and 100 connections
  Thread calibration: mean lat.: 138.699ms, rate sampling interval: 623ms
  Thread calibration: mean lat.: 139.717ms, rate sampling interval: 624ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    81.47ms   88.41ms 473.34ms   90.61%
    Req/Sec   250.10     23.35   312.00     78.12%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   52.26ms
 75.000%   84.48ms
 90.000%  165.63ms
 99.000%  473.34ms
 99.900%  863.23ms
 99.990%    1.24s 
 99.999%    1.25s 
100.000%    1.25s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      13.311     0.000000            1         1.00
      28.575     0.100000         2502         1.11
      35.743     0.200000         5006         1.25
      41.023     0.300000         7501         1.43
      46.367     0.400000        10014         1.67
      52.255     0.500000        12507         2.00
      55.839     0.550000        13754         2.22
      59.775     0.600000        15002         2.50
      64.703     0.650000        16253         2.86
      72.191     0.700000        17506         3.33
      84.543     0.750000        18757         4.00
      91.647     0.775000        19383         4.44
     101.247     0.800000        20004         5.00
     112.959     0.825000        20630         5.71
     128.831     0.850000        21253         6.67
     147.711     0.875000        21883         8.00
     157.695     0.887500        22192         8.89
     165.631     0.900000        22505        10.00
     176.127     0.912500        22820        11.43
     190.335     0.925000        23130        13.33
     211.071     0.937500        23441        16.00
     223.231     0.943750        23598        17.78
     242.431     0.950000        23753        20.00
     260.607     0.956250        23910        22.86
     279.807     0.962500        24066        26.67
     307.711     0.968750        24222        32.00
     327.679     0.971875        24300        35.56
     346.111     0.975000        24378        40.00
     365.567     0.978125        24457        45.71
     388.351     0.981250        24535        53.33
     430.335     0.984375        24615        64.00
     443.135     0.985938        24652        71.11
     450.815     0.987500        24691        80.00
     463.871     0.989062        24732        91.43
     478.207     0.990625        24770       106.67
     490.495     0.992188        24808       128.00
     501.247     0.992969        24828       142.22
     512.255     0.993750        24847       160.00
     544.255     0.994531        24867       182.86
     570.367     0.995313        24887       213.33
     607.231     0.996094        24907       256.00
     627.199     0.996484        24916       284.44
     642.559     0.996875        24925       320.00
     658.431     0.997266        24935       365.71
     661.503     0.997656        24945       426.67
     674.815     0.998047        24956       512.00
     678.399     0.998242        24960       568.89
     687.103     0.998437        24964       640.00
     703.487     0.998633        24969       731.43
     801.279     0.998828        24974       853.33
     863.743     0.999023        24979      1024.00
     875.519     0.999121        24982      1137.78
     877.567     0.999219        24984      1280.00
     890.367     0.999316        24986      1462.86
     933.887     0.999414        24989      1706.67
     962.559     0.999512        24991      2048.00
    1044.991     0.999561        24993      2275.56
    1053.695     0.999609        24994      2560.00
    1064.959     0.999658        24995      2925.71
    1065.983     0.999707        24996      3413.33
    1071.103     0.999756        24997      4096.00
    1232.895     0.999780        24999      4551.11
    1232.895     0.999805        24999      5120.00
    1232.895     0.999829        24999      5851.43
    1236.991     0.999854        25000      6826.67
    1236.991     0.999878        25000      8192.00
    1239.039     0.999890        25001      9102.22
    1239.039     0.999902        25001     10240.00
    1239.039     0.999915        25001     11702.86
    1240.063     0.999927        25002     13653.33
    1240.063     0.999939        25002     16384.00
    1240.063     0.999945        25002     18204.44
    1240.063     0.999951        25002     20480.00
    1240.063     0.999957        25002     23405.71
    1249.279     0.999963        25003     27306.67
    1249.279     1.000000        25003          inf
#[Mean    =       81.469, StdDeviation   =       88.406]
#[Max     =     1248.256, Total count    =        25003]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  29903 requests in 1.00m, 7.87MB read
  Socket errors: connect 0, read 0, write 0, timeout 9
Requests/sec:    498.17
Transfer/sec:    134.26KB
