Running 1m test @ http://128.199.25.250:31111/wrk2-api/home-timeline/read
  2 threads and 100 connections
  Thread calibration: mean lat.: 137.306ms, rate sampling interval: 411ms
  Thread calibration: mean lat.: 138.545ms, rate sampling interval: 419ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    32.70ms   41.90ms 251.77ms   94.33%
    Req/Sec   500.80     32.73   629.00     88.75%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   24.09ms
 75.000%   30.17ms
 90.000%   38.43ms
 99.000%  251.77ms
 99.900%  481.28ms
 99.990%    1.02s 
 99.999%    1.21s 
100.000%    1.31s 

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

       9.703     0.000000            1         1.00
      15.263     0.100000         5008         1.11
      17.615     0.200000        10014         1.25
      19.935     0.300000        15019         1.43
      22.031     0.400000        20019         1.67
      24.095     0.500000        25024         2.00
      25.151     0.550000        27519         2.22
      26.287     0.600000        30025         2.50
      27.391     0.650000        32546         2.86
      28.751     0.700000        35019         3.33
      30.175     0.750000        37532         4.00
      30.943     0.775000        38790         4.44
      31.807     0.800000        40027         5.00
      32.767     0.825000        41271         5.71
      34.015     0.850000        42530         6.67
      35.647     0.875000        43784         8.00
      36.767     0.887500        44399         8.89
      38.431     0.900000        45032        10.00
      40.639     0.912500        45652        11.43
      44.543     0.925000        46278        13.33
      62.303     0.937500        46898        16.00
      76.223     0.943750        47211        17.78
      89.407     0.950000        47524        20.00
     103.423     0.956250        47837        22.86
     120.255     0.962500        48151        26.67
     137.855     0.968750        48464        32.00
     148.607     0.971875        48620        35.56
     156.543     0.975000        48774        40.00
     165.375     0.978125        48930        45.71
     175.487     0.981250        49087        53.33
     186.623     0.984375        49243        64.00
     193.023     0.985938        49322        71.11
     219.007     0.987500        49399        80.00
     247.679     0.989062        49477        91.43
     254.335     0.990625        49556       106.67
     261.631     0.992188        49634       128.00
     265.471     0.992969        49676       142.22
     269.311     0.993750        49712       160.00
     272.383     0.994531        49752       182.86
     276.479     0.995313        49790       213.33
     280.063     0.996094        49830       256.00
     282.367     0.996484        49850       284.44
     284.671     0.996875        49870       320.00
     286.975     0.997266        49889       365.71
     290.815     0.997656        49908       426.67
     329.471     0.998047        49927       512.00
     368.639     0.998242        49937       568.89
     380.159     0.998437        49946       640.00
     392.191     0.998633        49956       731.43
     467.199     0.998828        49966       853.33
     483.071     0.999023        49976      1024.00
     491.007     0.999121        49981      1137.78
     548.863     0.999219        49985      1280.00
     560.639     0.999316        49990      1462.86
     569.855     0.999414        49995      1706.67
     578.047     0.999512        50001      2048.00
     582.143     0.999561        50003      2275.56
     583.167     0.999609        50006      2560.00
     584.703     0.999658        50008      2925.71
     593.407     0.999707        50010      3413.33
     681.471     0.999756        50012      4096.00
     777.727     0.999780        50014      4551.11
     821.759     0.999805        50015      5120.00
     876.031     0.999829        50016      5851.43
     922.111     0.999854        50017      6826.67
     973.823     0.999878        50018      8192.00
    1017.855     0.999890        50019      9102.22
    1070.079     0.999902        50020     10240.00
    1070.079     0.999915        50020     11702.86
    1116.159     0.999927        50021     13653.33
    1116.159     0.999939        50021     16384.00
    1168.383     0.999945        50022     18204.44
    1168.383     0.999951        50022     20480.00
    1168.383     0.999957        50022     23405.71
    1213.439     0.999963        50023     27306.67
    1213.439     0.999969        50023     32768.00
    1213.439     0.999973        50023     36408.89
    1213.439     0.999976        50023     40960.00
    1213.439     0.999979        50023     46811.43
    1311.743     0.999982        50024     54613.33
    1311.743     1.000000        50024          inf
#[Mean    =       32.698, StdDeviation   =       41.903]
#[Max     =     1310.720, Total count    =        50024]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  59903 requests in 1.00m, 11.37MB read
Requests/sec:    998.05
Transfer/sec:    193.96KB
