Running 1m test @ http://128.199.25.250:31111/wrk2-api/home-timeline/read
  2 threads and 100 connections
  Thread calibration: mean lat.: 79.548ms, rate sampling interval: 335ms
  Thread calibration: mean lat.: 80.375ms, rate sampling interval: 334ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    29.63ms   33.30ms 243.71ms   95.83%
    Req/Sec    24.49     52.96   150.00     84.51%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   21.87ms
 75.000%   29.25ms
 90.000%   40.38ms
 99.000%  243.71ms
 99.900%  262.14ms
 99.990%  262.40ms
 99.999%  262.40ms
100.000%  262.40ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      11.535     0.000000            1         1.00
      15.423     0.100000          247         1.11
      17.279     0.200000          492         1.25
      18.799     0.300000          737         1.43
      20.383     0.400000          982         1.67
      21.871     0.500000         1224         2.00
      22.879     0.550000         1346         2.22
      24.175     0.600000         1468         2.50
      25.647     0.650000         1590         2.86
      27.327     0.700000         1714         3.33
      29.247     0.750000         1835         4.00
      30.623     0.775000         1897         4.44
      31.743     0.800000         1957         5.00
      33.407     0.825000         2019         5.71
      35.679     0.850000         2081         6.67
      38.047     0.875000         2141         8.00
      39.039     0.887500         2171         8.89
      40.575     0.900000         2204        10.00
      41.727     0.912500         2232        11.43
      43.487     0.925000         2263        13.33
      51.583     0.937500         2294        16.00
      56.607     0.943750         2309        17.78
      59.967     0.950000         2324        20.00
      62.623     0.956250         2339        22.86
      63.423     0.962500         2355        26.67
      64.127     0.968750         2370        32.00
      64.671     0.971875         2378        35.56
      65.919     0.975000         2385        40.00
      67.199     0.978125         2394        45.71
     237.951     0.981250         2401        53.33
     240.511     0.984375         2408        64.00
     241.535     0.985938         2413        71.11
     241.919     0.987500         2417        80.00
     242.943     0.989062         2420        91.43
     246.015     0.990625         2425       106.67
     246.783     0.992188         2427       128.00
     247.935     0.992969         2429       142.22
     248.447     0.993750         2431       160.00
     248.703     0.994531         2433       182.86
     248.959     0.995313         2435       213.33
     250.495     0.996094         2437       256.00
     253.567     0.996484         2438       284.44
     257.535     0.996875         2439       320.00
     257.919     0.997266         2440       365.71
     258.303     0.997656         2441       426.67
     258.431     0.998047         2442       512.00
     258.431     0.998242         2442       568.89
     261.503     0.998437         2443       640.00
     261.503     0.998633         2443       731.43
     262.143     0.998828         2445       853.33
     262.143     0.999023         2445      1024.00
     262.143     0.999121         2445      1137.78
     262.143     0.999219         2445      1280.00
     262.143     0.999316         2445      1462.86
     262.143     0.999414         2445      1706.67
     262.143     0.999512         2445      2048.00
     262.143     0.999561         2445      2275.56
     262.399     0.999609         2446      2560.00
     262.399     1.000000         2446          inf
#[Mean    =       29.631, StdDeviation   =       33.300]
#[Max     =      262.144, Total count    =         2446]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  2903 requests in 1.00m, 564.16KB read
  Socket errors: connect 0, read 0, write 0, timeout 156
Requests/sec:     48.37
Transfer/sec:      9.40KB
