Running 1m test @ http://128.199.25.250:31111/wrk2-api/home-timeline/read
  2 threads and 100 connections
  Thread calibration: mean lat.: 79.203ms, rate sampling interval: 233ms
  Thread calibration: mean lat.: 79.035ms, rate sampling interval: 237ms
  Thread Stats   Avg      Stdev     99%   +/- Stdev
    Latency    62.44ms   32.17ms 196.35ms   81.50%
    Req/Sec   100.02     89.62   214.00     36.17%
  Latency Distribution (HdrHistogram - Recorded Latency)
 50.000%   57.92ms
 75.000%   72.83ms
 90.000%   92.16ms
 99.000%  196.35ms
 99.900%  282.11ms
 99.990%  286.98ms
 99.999%  288.77ms
100.000%  288.77ms

  Detailed Percentile spectrum:
       Value   Percentile   TotalCount 1/(1-Percentile)

      15.135     0.000000            1         1.00
      31.231     0.100000          999         1.11
      40.127     0.200000         2000         1.25
      46.495     0.300000         2999         1.43
      52.255     0.400000         3998         1.67
      57.919     0.500000         4998         2.00
      60.415     0.550000         5498         2.22
      62.943     0.600000         5997         2.50
      65.919     0.650000         6501         2.86
      69.119     0.700000         6995         3.33
      72.831     0.750000         7492         4.00
      74.943     0.775000         7747         4.44
      77.375     0.800000         7993         5.00
      80.255     0.825000         8241         5.71
      83.007     0.850000         8492         6.67
      87.039     0.875000         8743         8.00
      89.279     0.887500         8867         8.89
      92.223     0.900000         8992        10.00
      96.575     0.912500         9116        11.43
     100.799     0.925000         9240        13.33
     107.007     0.937500         9366        16.00
     110.911     0.943750         9428        17.78
     115.007     0.950000         9490        20.00
     120.127     0.956250         9552        22.86
     127.359     0.962500         9615        26.67
     134.015     0.968750         9678        32.00
     138.623     0.971875         9709        35.56
     144.639     0.975000         9740        40.00
     151.935     0.978125         9771        45.71
     160.511     0.981250         9802        53.33
     173.311     0.984375         9833        64.00
     175.999     0.985938         9849        71.11
     180.095     0.987500         9866        80.00
     189.055     0.989062         9880        91.43
     199.679     0.990625         9896       106.67
     205.183     0.992188         9911       128.00
     212.863     0.992969         9919       142.22
     231.295     0.993750         9927       160.00
     259.071     0.994531         9935       182.86
     263.679     0.995313         9943       213.33
     269.567     0.996094         9951       256.00
     271.359     0.996484         9954       284.44
     273.407     0.996875         9958       320.00
     275.455     0.997266         9962       365.71
     277.247     0.997656         9967       426.67
     277.503     0.998047         9970       512.00
     278.271     0.998242         9972       568.89
     280.319     0.998437         9975       640.00
     280.575     0.998633         9977       731.43
     280.831     0.998828         9978       853.33
     282.111     0.999023         9980      1024.00
     282.623     0.999121         9981      1137.78
     284.159     0.999219         9982      1280.00
     284.671     0.999316         9983      1462.86
     285.951     0.999414         9985      1706.67
     285.951     0.999512         9985      2048.00
     285.951     0.999561         9985      2275.56
     286.207     0.999609         9987      2560.00
     286.207     0.999658         9987      2925.71
     286.207     0.999707         9987      3413.33
     286.207     0.999756         9987      4096.00
     286.207     0.999780         9987      4551.11
     286.975     0.999805         9988      5120.00
     286.975     0.999829         9988      5851.43
     286.975     0.999854         9988      6826.67
     286.975     0.999878         9988      8192.00
     286.975     0.999890         9988      9102.22
     288.767     0.999902         9989     10240.00
     288.767     1.000000         9989          inf
#[Mean    =       62.445, StdDeviation   =       32.171]
#[Max     =      288.512, Total count    =         9989]
#[Buckets =           27, SubBuckets     =         2048]
----------------------------------------------------------
  11904 requests in 1.00m, 3.13MB read
Requests/sec:    198.32
Transfer/sec:     53.45KB
