Run ID,Command Number,Connections(s),Script,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets,P50,P75,P90,P99,P99.9,P99.99,P99.999
1,1,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
2,1,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
3,1,16,scripts/social-network/read-home-timeline.lua,10,nan,nan,0.0,0.0,27.0,2048.0,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us,0.00us
4,2,16,scripts/social-network/read-home-timeline.lua,100,28.262,13.608,151.168,4800.0,27.0,2048.0,25.47ms,32.37ms,41.12ms,80.70ms,142.98ms,151.29ms,151.29ms
5,2,16,scripts/social-network/read-home-timeline.lua,100,28.803,10.532,103.36,4800.0,27.0,2048.0,26.98ms,34.59ms,42.46ms,58.62ms,86.78ms,103.42ms,103.42ms
6,2,16,scripts/social-network/read-home-timeline.lua,100,32.293,15.03,165.632,4800.0,27.0,2048.0,29.26ms,37.57ms,48.58ms,96.38ms,125.57ms,165.76ms,165.76ms
7,3,16,scripts/social-network/read-home-timeline.lua,200,34.412,17.236,197.248,9997.0,27.0,2048.0,30.58ms,41.53ms,53.53ms,92.99ms,188.54ms,195.20ms,197.38ms
8,3,16,scripts/social-network/read-home-timeline.lua,200,42.188,29.793,326.912,10000.0,27.0,2048.0,36.00ms,47.78ms,62.72ms,206.98ms,278.02ms,311.81ms,327.17ms
9,3,16,scripts/social-network/read-home-timeline.lua,200,36.575,16.92,182.016,9999.0,27.0,2048.0,32.96ms,43.23ms,57.60ms,101.25ms,141.70ms,181.63ms,182.14ms
10,4,16,scripts/social-network/read-home-timeline.lua,500,348.582,345.297,1960.96,24040.0,27.0,2048.0,227.20ms,558.08ms,845.82ms,1.36s,1.82s,1.92s,1.96s
11,4,16,scripts/social-network/read-home-timeline.lua,500,724.696,705.0,2717.696,25328.0,27.0,2048.0,545.28ms,1.06s,1.94s,2.47s,2.64s,2.70s,2.72s
12,4,16,scripts/social-network/read-home-timeline.lua,500,930.093,796.811,2707.456,25064.0,27.0,2048.0,796.16ms,1.53s,2.16s,2.56s,2.66s,2.70s,2.71s
13,5,16,scripts/social-network/read-home-timeline.lua,750,7792.656,2568.943,14319.616,29010.0,27.0,2048.0,7.25s,9.57s,11.78s,13.80s,14.12s,14.27s,14.33s
14,5,16,scripts/social-network/read-home-timeline.lua,750,15395.874,6129.305,26787.84,20784.0,27.0,2048.0,15.33s,20.50s,23.87s,26.35s,26.76s,26.80s,26.80s
15,5,16,scripts/social-network/read-home-timeline.lua,750,14319.123,5430.743,26460.16,21730.0,27.0,2048.0,13.71s,19.02s,21.20s,25.66s,26.18s,26.38s,26.48s
16,6,16,scripts/social-network/read-home-timeline.lua,1000,19842.347,7732.675,32587.776,23829.0,27.0,2048.0,20.07s,27.36s,30.15s,32.18s,32.52s,32.60s,32.60s
17,6,16,scripts/social-network/read-home-timeline.lua,1000,17280.154,6833.661,31408.128,24465.0,27.0,2048.0,16.41s,22.94s,27.21s,30.69s,31.20s,31.42s,31.42s
18,6,16,scripts/social-network/read-home-timeline.lua,1000,16233.705,6969.38,30523.392,25311.0,27.0,2048.0,15.83s,21.10s,27.21s,29.85s,30.29s,30.51s,30.54s
19,7,1,scripts/social-network/read-home-timeline.lua,1000,18418.998,10029.17,37945.344,4313.0,27.0,2048.0,16.96s,26.64s,33.24s,37.62s,37.95s,37.98s,37.98s
20,7,1,scripts/social-network/read-home-timeline.lua,1000,17492.743,9343.607,35880.96,4431.0,27.0,2048.0,16.74s,24.58s,31.54s,35.45s,35.88s,35.91s,35.91s
21,7,1,scripts/social-network/read-home-timeline.lua,1000,21103.491,11850.189,42500.096,3711.0,27.0,2048.0,20.30s,31.85s,37.85s,42.04s,42.47s,42.53s,42.53s
22,8,2,scripts/social-network/read-home-timeline.lua,1000,26705.155,12996.336,47710.208,7159.0,27.0,2048.0,27.13s,37.42s,44.17s,47.35s,47.64s,47.74s,47.74s
23,8,2,scripts/social-network/read-home-timeline.lua,1000,27246.047,12933.677,48070.656,7091.0,27.0,2048.0,27.87s,37.62s,44.40s,47.74s,48.07s,48.10s,48.10s
24,8,2,scripts/social-network/read-home-timeline.lua,1000,22396.565,12281.37,44367.872,7943.0,27.0,2048.0,22.38s,31.98s,39.71s,43.91s,44.30s,44.40s,44.40s
25,9,4,scripts/social-network/read-home-timeline.lua,1000,26578.02,11590.238,46989.312,10695.0,27.0,2048.0,25.10s,37.39s,43.48s,46.73s,46.96s,47.02s,47.02s
26,9,4,scripts/social-network/read-home-timeline.lua,1000,27301.03,11064.761,45645.824,11991.0,27.0,2048.0,27.46s,37.62s,42.24s,45.25s,45.61s,45.68s,45.68s
27,9,4,scripts/social-network/read-home-timeline.lua,1000,27597.061,11141.392,46137.344,11758.0,27.0,2048.0,27.28s,38.40s,42.60s,45.84s,46.10s,46.14s,46.17s
28,10,8,scripts/social-network/read-home-timeline.lua,1000,21754.752,8962.069,37453.824,19031.0,27.0,2048.0,21.59s,30.15s,33.82s,36.93s,37.42s,37.49s,37.49s
29,10,8,scripts/social-network/read-home-timeline.lua,1000,21051.112,9781.313,37650.432,17175.0,27.0,2048.0,21.12s,29.87s,34.31s,37.29s,37.58s,37.68s,37.68s
30,10,8,scripts/social-network/read-home-timeline.lua,1000,19675.452,9348.84,36765.696,19121.0,27.0,2048.0,17.48s,28.75s,33.65s,36.37s,36.73s,36.80s,36.80s
31,11,16,scripts/social-network/read-home-timeline.lua,1000,14581.329,6196.99,26165.248,28544.0,27.0,2048.0,14.52s,19.71s,22.38s,25.43s,25.95s,26.15s,26.18s
32,11,16,scripts/social-network/read-home-timeline.lua,1000,17032.232,7669.193,28737.536,25799.0,27.0,2048.0,19.25s,23.46s,26.25s,28.02s,28.54s,28.70s,28.75s
