rps,idx,mean
rps_50,0,69.698
rps_50,1,62.250
rps_50,3,75.846
rps_50,2,40.684
rps_50,4,46.461
rps_500,0,88.237
rps_500,1,74.350
rps_500,3,84.814
rps_500,2,77.949
rps_500,4,71.674
rps_1000,0,6989.017
rps_1000,1,7071.376
rps_1000,3,8553.707
rps_1000,2,10035.808
rps_1000,4,7254.841
rps_100,0,74.803
rps_100,1,85.811
rps_100,3,64.635
rps_100,2,90.471
rps_100,4,64.501
rps_200,0,81.110
rps_200,1,62.197
rps_200,3,71.207
rps_200,2,72.805
rps_200,4,62.445
rps_20,0,59.624
rps_20,1,44.826
rps_20,3,97.308
rps_20,2,81.626
rps_20,4,82.236
