Run ID,Command Number,Connections(s),Duration,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets
1,1,16,60,10,1.202,0.682,7.464,400.0,27.0,2048.0
2,1,16,60,10,1.156,0.46,3.306,400.0,27.0,2048.0
3,1,16,60,10,1.336,1.309,14.048,400.0,27.0,2048.0
4,2,16,60,100,1.048,0.304,4.376,4794.0,27.0,2048.0
5,2,16,60,100,1.012,0.296,3.37,4794.0,27.0,2048.0
6,2,16,60,100,1.034,0.292,2.88,4794.0,27.0,2048.0
7,3,16,60,500,0.918,0.626,34.976,24793.0,27.0,2048.0
8,3,16,60,500,0.916,0.268,6.296,24795.0,27.0,2048.0
9,3,16,60,500,0.904,0.234,3.502,24793.0,27.0,2048.0
10,4,16,60,1000,0.825,0.201,7.132,49990.0,27.0,2048.0
11,4,16,60,1000,0.848,0.276,9.464,49992.0,27.0,2048.0
12,4,16,60,1000,0.832,0.321,41.088,49993.0,27.0,2048.0
13,5,16,60,2000,0.736,0.573,44.32,99991.0,27.0,2048.0
14,5,16,60,2000,0.749,0.212,12.584,99993.0,27.0,2048.0
15,5,16,60,2000,0.75,0.24,15.592,99991.0,27.0,2048.0
16,6,16,60,3000,0.669,0.211,15.792,149989.0,27.0,2048.0
17,6,16,60,3000,0.676,0.187,9.064,149991.0,27.0,2048.0
18,6,16,60,3000,0.662,0.258,40.192,149991.0,27.0,2048.0
19,7,1,60,1000,0.8,0.333,8.4,49999.0,27.0,2048.0
20,7,1,60,1000,0.85,0.367,7.316,49998.0,27.0,2048.0
21,7,1,60,1000,0.77,0.327,6.928,49998.0,27.0,2048.0
22,8,2,60,1000,0.722,0.183,6.74,49996.0,27.0,2048.0
23,8,2,60,1000,0.716,0.187,6.892,49998.0,27.0,2048.0
24,8,2,60,1000,0.726,0.176,6.996,49996.0,27.0,2048.0
25,9,4,60,1000,0.713,0.282,30.272,49998.0,27.0,2048.0
26,9,4,60,1000,0.714,0.287,17.312,49997.0,27.0,2048.0
27,9,4,60,1000,0.707,0.178,7.588,49995.0,27.0,2048.0
28,10,8,60,1000,0.787,0.328,38.272,49995.0,27.0,2048.0
29,10,8,60,1000,0.766,0.183,6.592,50000.0,27.0,2048.0
30,10,8,60,1000,0.78,0.391,46.208,49997.0,27.0,2048.0
31,11,16,60,1000,0.844,0.392,36.992,49996.0,27.0,2048.0
32,11,16,60,1000,0.846,0.549,41.952,49993.0,27.0,2048.0
33,11,16,60,1000,0.867,0.242,7.736,49996.0,27.0,2048.0
34,12,32,60,1000,0.892,0.373,22.768,49984.0,27.0,2048.0
35,12,32,60,1000,0.874,0.286,27.2,49984.0,27.0,2048.0
36,12,32,60,1000,1.025,0.577,28.08,49984.0,27.0,2048.0
37,13,64,60,1000,0.933,0.357,37.216,49984.0,27.0,2048.0
38,13,64,60,1000,1.146,0.527,11.864,49984.0,27.0,2048.0
39,13,64,60,1000,1.266,0.671,45.024,49984.0,27.0,2048.0
