rps,idx,mean
rps_50,0,30.302
rps_50,1,25.589
rps_50,3,34.495
rps_50,2,27.340
rps_50,4,40.379
rps_500,0,52.385
rps_500,1,41.911
rps_500,3,47.527
rps_500,2,31.010
rps_500,4,55.515
rps_1000,0,190.459
rps_1000,1,289.418
rps_1000,3,212.202
rps_1000,2,198.453
rps_1000,4,231.026
rps_100,0,35.392
rps_100,1,34.564
rps_100,3,28.307
rps_100,2,37.455
rps_100,4,43.034
rps_200,0,52.339
rps_200,1,31.373
rps_200,3,50.803
rps_200,2,38.733
rps_200,4,44.824
rps_20,0,48.090
rps_20,1,80.642
rps_20,3,55.169
rps_20,2,46.216
rps_20,4,38.867
