Run ID,Command Number,Connections(s),Script,Requests Per Second,Mean,StdDeviation,Max,Total count,Buckets,SubBuckets,P50,P75,P90,P99,P99.9,P99.99,P99.999
1,1,64,scripts/social-network/compose-post.lua,1000,77.202,104.391,844.288,49362.0,27.0,2048.0,39.39ms,69.44ms,177.02ms,543.74ms,678.40ms,797.70ms,844.80ms
2,1,64,scripts/social-network/compose-post.lua,1000,972.905,1255.888,4648.96,52904.0,27.0,2048.0,145.15ms,1.98s,3.11s,3.85s,4.35s,4.58s,4.62s
3,1,64,scripts/social-network/compose-post.lua,1000,1780.958,1402.801,4898.816,48571.0,27.0,2048.0,1.89s,3.01s,3.61s,4.26s,4.56s,4.87s,4.90s
4,2,32,scripts/social-network/compose-post.lua,1000,414.162,782.323,3764.224,46437.0,27.0,2048.0,49.02ms,437.76ms,1.14s,3.26s,3.61s,3.74s,3.77s
5,2,32,scripts/social-network/compose-post.lua,1000,1069.445,1063.862,3436.544,48547.0,27.0,2048.0,641.53ms,2.14s,2.49s,2.97s,3.30s,3.40s,3.44s
6,2,32,scripts/social-network/compose-post.lua,1000,4112.052,1699.209,6950.912,44729.0,27.0,2048.0,4.52s,5.45s,5.96s,6.46s,6.81s,6.92s,6.96s
7,3,16,scripts/social-network/compose-post.lua,1000,1279.575,1413.622,4902.912,44832.0,27.0,2048.0,786.43ms,2.69s,3.36s,4.40s,4.72s,4.87s,4.91s
8,3,16,scripts/social-network/compose-post.lua,1000,1174.538,612.221,2926.592,50243.0,27.0,2048.0,1.10s,1.63s,2.04s,2.57s,2.85s,2.92s,2.93s
9,3,16,scripts/social-network/compose-post.lua,1000,3635.576,725.872,6205.44,46680.0,27.0,2048.0,3.55s,4.11s,4.51s,5.96s,6.10s,6.19s,6.21s
10,4,8,scripts/social-network/compose-post.lua,1000,3139.161,466.478,4792.32,33075.0,27.0,2048.0,3.13s,3.42s,3.72s,4.44s,4.70s,4.78s,4.80s
11,4,8,scripts/social-network/compose-post.lua,1000,2980.336,378.644,4558.848,33544.0,27.0,2048.0,2.95s,3.19s,3.47s,4.05s,4.37s,4.55s,4.56s
12,4,8,scripts/social-network/compose-post.lua,1000,3030.332,408.684,4444.16,34116.0,27.0,2048.0,3.04s,3.34s,3.58s,3.87s,4.12s,4.42s,4.45s
13,5,4,scripts/social-network/compose-post.lua,1000,2813.574,352.661,4179.968,19613.0,27.0,2048.0,2.78s,2.99s,3.28s,3.81s,4.08s,4.16s,4.18s
14,5,4,scripts/social-network/compose-post.lua,1000,2837.063,410.333,3995.648,19034.0,27.0,2048.0,2.82s,3.13s,3.39s,3.76s,3.91s,3.98s,4.00s
15,5,4,scripts/social-network/compose-post.lua,1000,2769.442,436.321,4272.128,19434.0,27.0,2048.0,2.71s,3.02s,3.39s,3.93s,4.18s,4.24s,4.28s
16,6,2,scripts/social-network/compose-post.lua,1000,2543.848,309.63,3418.112,11270.0,27.0,2048.0,2.53s,2.78s,2.95s,3.19s,3.35s,3.41s,3.42s
17,6,2,scripts/social-network/compose-post.lua,1000,2542.063,302.812,3487.744,11116.0,27.0,2048.0,2.54s,2.76s,2.93s,3.30s,3.44s,3.48s,3.49s
18,6,2,scripts/social-network/compose-post.lua,1000,2555.185,355.262,3618.816,10736.0,27.0,2048.0,2.51s,2.79s,3.06s,3.46s,3.56s,3.61s,3.62s
19,7,1,scripts/social-network/compose-post.lua,1000,2659.927,370.419,3917.824,5464.0,27.0,2048.0,2.62s,2.88s,3.13s,3.77s,3.89s,3.91s,3.92s
20,7,1,scripts/social-network/compose-post.lua,1000,2570.943,365.463,3702.784,5458.0,27.0,2048.0,2.49s,2.81s,3.12s,3.55s,3.69s,3.70s,3.70s
21,7,1,scripts/social-network/compose-post.lua,1000,2547.307,242.558,3201.024,5598.0,27.0,2048.0,2.55s,2.72s,2.88s,3.07s,3.15s,3.19s,3.20s
22,8,16,scripts/social-network/compose-post.lua,1000,4332.55,1142.928,8437.76,37557.0,27.0,2048.0,4.20s,4.82s,5.86s,7.44s,7.98s,8.18s,8.45s
23,8,16,scripts/social-network/compose-post.lua,1000,3731.016,2644.182,11419.648,33526.0,27.0,2048.0,3.82s,5.33s,7.19s,10.50s,11.17s,11.39s,11.43s
24,8,16,scripts/social-network/compose-post.lua,1000,3452.893,1384.75,8118.272,40772.0,27.0,2048.0,3.49s,4.24s,5.05s,7.02s,7.59s,7.88s,8.12s
25,9,16,scripts/social-network/compose-post.lua,750,931.345,1107.054,3975.168,37199.0,27.0,2048.0,393.47ms,1.56s,2.83s,3.69s,3.92s,3.97s,3.98s
26,9,16,scripts/social-network/compose-post.lua,750,674.685,1015.212,4796.416,33845.0,27.0,2048.0,122.30ms,969.73ms,2.22s,4.49s,4.67s,4.78s,4.80s
27,9,16,scripts/social-network/compose-post.lua,750,44.069,78.054,540.16,37482.0,27.0,2048.0,13.66ms,37.85ms,104.13ms,436.48ms,508.16ms,526.85ms,540.67ms
28,10,16,scripts/social-network/compose-post.lua,500,46.046,76.434,582.656,24810.0,27.0,2048.0,14.10ms,34.94ms,134.65ms,387.84ms,523.78ms,579.58ms,583.17ms
29,10,16,scripts/social-network/compose-post.lua,500,27.615,38.808,361.472,24698.0,27.0,2048.0,14.41ms,17.22ms,58.53ms,218.11ms,324.35ms,359.17ms,361.73ms
30,10,16,scripts/social-network/compose-post.lua,500,20.143,21.423,246.144,24800.0,27.0,2048.0,13.50ms,15.38ms,38.37ms,120.57ms,207.23ms,244.35ms,246.27ms
31,11,16,scripts/social-network/compose-post.lua,200,25.811,41.274,472.064,10070.0,27.0,2048.0,14.41ms,16.25ms,44.38ms,222.72ms,407.30ms,471.04ms,472.32ms
32,11,16,scripts/social-network/compose-post.lua,200,22.054,28.346,291.584,10000.0,27.0,2048.0,14.30ms,15.96ms,31.28ms,154.37ms,267.52ms,291.58ms,291.84ms
33,11,16,scripts/social-network/compose-post.lua,200,20.847,24.931,261.76,10000.0,27.0,2048.0,14.41ms,15.97ms,30.54ms,150.01ms,243.58ms,261.89ms,261.89ms
34,12,16,scripts/social-network/compose-post.lua,100,16.76,11.257,178.816,4800.0,27.0,2048.0,15.10ms,16.50ms,18.19ms,73.79ms,176.64ms,178.94ms,178.94ms
35,12,16,scripts/social-network/compose-post.lua,100,18.627,20.905,240.0,4800.0,27.0,2048.0,14.57ms,16.13ms,18.54ms,151.29ms,237.18ms,240.13ms,240.13ms
36,12,16,scripts/social-network/compose-post.lua,100,18.147,16.443,223.36,4800.0,27.0,2048.0,14.76ms,16.14ms,18.17ms,104.25ms,220.41ms,223.49ms,223.49ms
37,13,16,scripts/social-network/compose-post.lua,10,16.556,5.385,45.088,400.0,27.0,2048.0,15.53ms,16.91ms,18.78ms,43.07ms,45.12ms,45.12ms,45.12ms
38,13,16,scripts/social-network/compose-post.lua,10,15.759,3.507,52.704,400.0,27.0,2048.0,15.37ms,16.54ms,17.77ms,20.82ms,52.74ms,52.74ms,52.74ms
39,13,16,scripts/social-network/compose-post.lua,10,16.024,3.662,35.232,400.0,27.0,2048.0,15.11ms,17.01ms,20.03ms,30.83ms,35.26ms,35.26ms,35.26ms
40,14,64,scripts/social-network/read-home-timeline.lua,1000,1.092,0.918,70.4,49984.0,27.0,2048.0,0.99ms,1.22ms,1.54ms,2.79ms,6.35ms,63.81ms,70.46ms
41,14,64,scripts/social-network/read-home-timeline.lua,1000,1.086,0.512,33.184,49984.0,27.0,2048.0,0.99ms,1.23ms,1.55ms,2.65ms,5.76ms,11.09ms,33.22ms
42,14,64,scripts/social-network/read-home-timeline.lua,1000,1.2,0.688,21.776,49984.0,27.0,2048.0,1.02ms,1.34ms,1.85ms,3.59ms,8.06ms,19.01ms,21.79ms
43,15,32,scripts/social-network/read-home-timeline.lua,1000,1.016,0.508,18.224,49984.0,27.0,2048.0,0.91ms,1.15ms,1.44ms,2.49ms,5.93ms,15.10ms,18.24ms
44,15,32,scripts/social-network/read-home-timeline.lua,1000,0.878,0.338,48.096,49984.0,27.0,2048.0,834.00us,0.97ms,1.15ms,1.69ms,3.04ms,6.77ms,48.13ms
45,15,32,scripts/social-network/read-home-timeline.lua,1000,0.901,0.37,19.664,49984.0,27.0,2048.0,845.00us,1.00ms,1.21ms,1.84ms,3.36ms,16.45ms,19.68ms
